GEO_ID,NAME,S2901_C01_001E,S2901_C01_001M,S2901_C01_002E,S2901_C01_002M,S2901_C01_003E,S2901_C01_003M,S2901_C01_004E,S2901_C01_004M,S2901_C01_005E,S2901_C01_005M,S2901_C01_006E,S2901_C01_006M,S2901_C01_007E,S2901_C01_007M,S2901_C01_008E,S2901_C01_008M,S2901_C01_009E,S2901_C01_009M,S2901_C01_010E,S2901_C01_010M,S2901_C01_011E,S2901_C01_011M,S2901_C01_012E,S2901_C01_012M,S2901_C01_013E,S2901_C01_013M,S2901_C01_014E,S2901_C01_014M,S2901_C01_015E,S2901_C01_015M,S2901_C01_016E,S2901_C01_016M,S2901_C01_017E,S2901_C01_017M,S2901_C01_018E,S2901_C01_018M,S2901_C01_019E,S2901_C01_019M,S2901_C01_020E,S2901_C01_020M,S2901_C01_021E,S2901_C01_021M,S2901_C01_022E,S2901_C01_022M,S2901_C01_023E,S2901_C01_023M,S2901_C01_024E,S2901_C01_024M,S2901_C01_025E,S2901_C01_025M,S2901_C01_026E,S2901_C01_026M,S2901_C01_027E,S2901_C01_027M,S2901_C01_028E,S2901_C01_028M,S2901_C01_029E,S2901_C01_029M,S2901_C02_001E,S2901_C02_001M,S2901_C02_002E,S2901_C02_002M,S2901_C02_003E,S2901_C02_003M,S2901_C02_004E,S2901_C02_004M,S2901_C02_005E,S2901_C02_005M,S2901_C02_006E,S2901_C02_006M,S2901_C02_007E,S2901_C02_007M,S2901_C02_008E,S2901_C02_008M,S2901_C02_009E,S2901_C02_009M,S2901_C02_010E,S2901_C02_010M,S2901_C02_011E,S2901_C02_011M,S2901_C02_012E,S2901_C02_012M,S2901_C02_013E,S2901_C02_013M,S2901_C02_014E,S2901_C02_014M,S2901_C02_015E,S2901_C02_015M,S2901_C02_016E,S2901_C02_016M,S2901_C02_017E,S2901_C02_017M,S2901_C02_018E,S2901_C02_018M,S2901_C02_019E,S2901_C02_019M,S2901_C02_020E,S2901_C02_020M,S2901_C02_021E,S2901_C02_021M,S2901_C02_022E,S2901_C02_022M,S2901_C02_023E,S2901_C02_023M,S2901_C02_024E,S2901_C02_024M,S2901_C02_025E,S2901_C02_025M,S2901_C02_026E,S2901_C02_026M,S2901_C02_027E,S2901_C02_027M,S2901_C02_028E,S2901_C02_028M,S2901_C02_029E,S2901_C02_029M
7950000US3603807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",132584,8478,29417,4781,40759,4873,36845,5499,25563,4551,67157,4770,65427,5979,97208,7524,N,N,15390,3384,N,N,N,N,N,N,N,N,22774,5879,82982,6684,3948,1782,4578,1510,13706,3839,9487,2380,6670,2862,55455,5091,38740,3932,124058,8021,94195,5603,129574,8030,13693,3023,115881,8127,120041,16685,(X),(X),22.2,3.2,30.7,3.7,27.8,3.6,19.3,3.1,50.7,2.5,49.3,2.5,73.3,3.8,N,N,11.6,2.5,N,N,N,N,N,N,N,N,17.2,4,62.6,4.2,3,1.3,3.5,1.1,10.3,2.6,7.2,1.6,5,2.1,41.8,3.5,29.2,3,93.6,1.8,71,3.8,(X),(X),10.6,2.3,89.4,2.3,(X),(X)
7950000US3603808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",119303,12247,35974,7820,29835,4377,30876,6104,22618,3504,58276,7809,61027,6074,92014,8330,N,N,15276,3499,N,N,N,N,N,N,N,N,10281,3201,83441,7653,2216,1509,1559,1115,10093,4144,12420,3896,3096,1185,55900,6649,34019,3658,115528,11753,89919,7657,115639,12205,8040,2426,107599,11860,155045,15913,(X),(X),30.2,4.7,25,3.7,25.9,3.8,19,3.3,48.8,2.9,51.2,2.9,77.1,4.6,N,N,12.8,2.7,N,N,N,N,N,N,N,N,8.6,2.6,69.9,4.8,1.9,1.2,1.3,0.9,8.5,3,10.4,2.7,2.6,1.1,46.9,3.8,28.5,3.4,96.8,1.8,75.4,4.5,(X),(X),7,2.1,93,2.1,(X),(X)
7950000US3603809,"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",129055,8276,30134,3645,30859,4376,32973,4158,35089,3424,62242,6054,66813,4781,60280,5504,N,N,37009,3743,N,N,N,N,14078,3781,N,N,33530,4976,44555,5105,16844,3265,13491,3209,23632,3933,20932,3386,5642,1438,33951,4872,14563,2681,98720,7840,48514,5500,123105,8206,26613,3880,96492,8957,41110,7195,(X),(X),23.3,2.5,23.9,2.9,25.5,2.6,27.2,2.3,48.2,2.8,51.8,2.8,46.7,3.4,N,N,28.7,2.6,N,N,N,N,10.9,2.6,N,N,26,3,34.5,3.5,13.1,2.5,10.5,2.4,18.3,2.7,16.2,2.4,4.4,1,26.3,3.4,11.3,2,76.5,3.3,37.6,3.7,(X),(X),21.6,3.4,78.4,3.4,(X),(X)
7950000US3603810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",127056,8701,35917,5281,36354,4490,33477,3999,21308,2814,60282,4950,66774,5359,99259,7184,N,N,16854,3455,N,N,N,N,N,N,N,N,12400,3698,91112,6536,1121,601,2899,1346,9476,2567,12560,2237,2792,1388,57097,5574,41111,3668,123036,8434,98208,7284,121157,8744,7495,2191,113662,8434,159626,20427,(X),(X),28.3,3.1,28.6,3.1,26.3,2.6,16.8,2.3,47.4,2.2,52.6,2.2,78.1,3.2,N,N,13.3,2.5,N,N,N,N,N,N,N,N,9.8,2.7,71.7,3.6,0.9,0.5,2.3,1,7.5,1.9,9.9,1.6,2.2,1.1,44.9,2.7,32.4,2.6,96.8,1.1,77.3,2.9,(X),(X),6.2,1.7,93.8,1.7,(X),(X)
7950000US3603901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",120587,6106,21479,2541,28968,3294,42702,3068,27438,2429,57332,3496,63255,3552,112600,5898,N,N,5468,1708,N,N,N,N,N,N,N,N,10174,2505,103539,5311,1558,586,3894,943,32996,3413,24013,3576,9160,1736,28869,3562,20097,2643,115135,6135,48966,4013,120543,6105,3871,1198,116672,6048,109123,6787,(X),(X),17.8,1.8,24,2.3,35.4,2,22.8,1.9,47.5,1.5,52.5,1.5,93.4,1.7,N,N,4.5,1.4,N,N,N,N,N,N,N,N,8.4,1.9,85.9,2.3,1.3,0.5,3.2,0.8,27.4,2.4,19.9,2.6,7.6,1.4,23.9,2.8,16.7,2.1,95.5,0.8,40.6,3,(X),(X),3.2,1,96.8,1,(X),(X)
7950000US3603902,"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",97669,6168,16567,2802,21182,3244,34997,2835,24923,2658,45126,3432,52543,3715,76546,5224,N,N,13202,2259,N,N,N,N,N,N,N,N,13145,2909,65524,4645,5024,1822,5007,1523,27956,3432,18521,2934,6056,1141,21371,3191,13734,2195,87638,5544,35105,4479,96013,6067,5457,1652,90556,5749,85324,10038,(X),(X),17,2.4,21.7,2.8,35.8,2.3,25.5,2.7,46.2,1.8,53.8,1.8,78.4,2.6,N,N,13.5,2.2,N,N,N,N,N,N,N,N,13.5,2.7,67.1,3.2,5.1,1.8,5.1,1.5,28.6,3.5,19,2.6,6.2,1.2,21.9,2.8,14.1,2.1,89.7,2.1,35.9,3.9,(X),(X),5.7,1.6,94.3,1.6,(X),(X)
7950000US3603903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",120788,5985,28200,3273,28422,2737,41283,2932,22883,1934,58818,3376,61970,3737,71755,6053,26652,2352,8940,2138,N,N,N,N,9263,2946,N,N,30487,3384,52999,5208,4367,1239,10054,1969,37646,3442,21883,3422,10160,1705,23145,2984,13533,1743,106367,5345,36678,3392,118974,5917,12733,2591,106241,6137,77616,9620,(X),(X),23.3,2.1,23.5,2,34.2,1.5,18.9,1.8,48.7,1.6,51.3,1.6,59.4,3.2,22.1,2.2,7.4,1.7,N,N,N,N,7.7,2.4,N,N,25.2,2.5,43.9,3.3,3.6,1,8.3,1.6,31.2,2.5,18.1,2.5,8.4,1.4,19.2,2.4,11.2,1.5,88.1,1.8,30.4,2.7,(X),(X),10.7,2.2,89.3,2.2,(X),(X)
7950000US3604001,"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",104711,5327,29051,3050,37559,3073,23179,2805,14922,2493,51709,3459,53002,3183,71105,4200,7252,2407,6442,1636,N,N,N,N,15629,4047,N,N,28477,4532,61897,3964,7063,1974,8124,1493,21104,2750,12673,2324,4703,1277,35799,2974,15245,1643,89524,4569,51044,3160,104454,5310,14499,2586,89955,5191,91521,8144,(X),(X),27.7,2.9,35.9,2.5,22.1,2,14.3,2.2,49.4,1.9,50.6,1.9,67.9,3.5,6.9,2.2,6.2,1.6,N,N,N,N,14.9,3.5,N,N,27.2,3.5,59.1,3.5,6.7,1.7,7.8,1.4,20.2,2.3,12.1,1.9,4.5,1.2,34.2,3.1,14.6,1.6,85.5,2.3,48.7,3.4,(X),(X),13.9,2.4,86.1,2.4,(X),(X)
7950000US3604002,"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",89582,6322,31907,3793,26345,2955,20293,3005,11037,1955,46755,4418,42827,3922,35546,3757,21763,3423,N,N,N,N,N,N,22936,4404,5132,1613,43250,4966,23413,2648,5845,1480,10626,2166,19972,3430,15917,2870,6291,1641,24207,2756,6724,1196,73111,5731,30931,2963,89363,6218,15580,2498,73783,5817,70801,7300,(X),(X),35.6,3.2,29.4,3,22.7,2.9,12.3,2,52.2,3,47.8,3,39.7,3.7,24.3,3.2,N,N,N,N,N,N,25.6,4.4,5.7,1.8,48.3,3.9,26.1,2.8,6.5,1.6,11.9,2.2,22.3,3.1,17.8,2.9,7,1.7,27,3,7.5,1.4,81.6,2.6,34.5,3.3,(X),(X),17.4,2.6,82.6,2.6,(X),(X)
7950000US3604003,"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",101647,7062,28881,3334,34370,3716,24554,3120,13842,2354,43712,4109,57935,4806,32389,3630,54671,5834,2516,789,N,N,N,N,8574,2929,N,N,17537,3386,27647,3339,3810,867,9838,2093,28870,3661,15880,2398,5791,1567,26305,2928,11153,1563,87999,6375,37458,3629,101496,7035,20416,3587,81080,6176,62494,4514,(X),(X),28.4,2.6,33.8,3.1,24.2,2.4,13.6,2.1,43,2.7,57,2.7,31.9,3.3,53.8,3.6,2.5,0.8,N,N,N,N,8.4,2.8,N,N,17.3,2.9,27.2,3.1,3.7,0.9,9.7,1.9,28.4,2.6,15.6,2.1,5.7,1.4,25.9,2.6,11,1.6,86.6,2,36.9,3.4,(X),(X),20.1,3.1,79.9,3.1,(X),(X)
