GEO_ID,NAME,S2901_C01_001E,S2901_C01_001M,S2901_C01_002E,S2901_C01_002M,S2901_C01_003E,S2901_C01_003M,S2901_C01_004E,S2901_C01_004M,S2901_C01_005E,S2901_C01_005M,S2901_C01_006E,S2901_C01_006M,S2901_C01_007E,S2901_C01_007M,S2901_C01_008E,S2901_C01_008M,S2901_C01_009E,S2901_C01_009M,S2901_C01_010E,S2901_C01_010M,S2901_C01_011E,S2901_C01_011M,S2901_C01_012E,S2901_C01_012M,S2901_C01_013E,S2901_C01_013M,S2901_C01_014E,S2901_C01_014M,S2901_C01_015E,S2901_C01_015M,S2901_C01_016E,S2901_C01_016M,S2901_C01_017E,S2901_C01_017M,S2901_C01_018E,S2901_C01_018M,S2901_C01_019E,S2901_C01_019M,S2901_C01_020E,S2901_C01_020M,S2901_C01_021E,S2901_C01_021M,S2901_C01_022E,S2901_C01_022M,S2901_C01_023E,S2901_C01_023M,S2901_C01_024E,S2901_C01_024M,S2901_C01_025E,S2901_C01_025M,S2901_C01_026E,S2901_C01_026M,S2901_C01_027E,S2901_C01_027M,S2901_C01_028E,S2901_C01_028M,S2901_C01_029E,S2901_C01_029M,S2901_C02_001E,S2901_C02_001M,S2901_C02_002E,S2901_C02_002M,S2901_C02_003E,S2901_C02_003M,S2901_C02_004E,S2901_C02_004M,S2901_C02_005E,S2901_C02_005M,S2901_C02_006E,S2901_C02_006M,S2901_C02_007E,S2901_C02_007M,S2901_C02_008E,S2901_C02_008M,S2901_C02_009E,S2901_C02_009M,S2901_C02_010E,S2901_C02_010M,S2901_C02_011E,S2901_C02_011M,S2901_C02_012E,S2901_C02_012M,S2901_C02_013E,S2901_C02_013M,S2901_C02_014E,S2901_C02_014M,S2901_C02_015E,S2901_C02_015M,S2901_C02_016E,S2901_C02_016M,S2901_C02_017E,S2901_C02_017M,S2901_C02_018E,S2901_C02_018M,S2901_C02_019E,S2901_C02_019M,S2901_C02_020E,S2901_C02_020M,S2901_C02_021E,S2901_C02_021M,S2901_C02_022E,S2901_C02_022M,S2901_C02_023E,S2901_C02_023M,S2901_C02_024E,S2901_C02_024M,S2901_C02_025E,S2901_C02_025M,S2901_C02_026E,S2901_C02_026M,S2901_C02_027E,S2901_C02_027M,S2901_C02_028E,S2901_C02_028M,S2901_C02_029E,S2901_C02_029M
7950000US3604004,"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",97255,4965,23643,3106,38028,3208,20671,2450,14913,2096,44726,3158,52529,3164,57454,4124,23063,3035,9210,1720,N,N,N,N,3968,1517,3471,1061,10680,2071,52450,3978,3157,1076,4391,1213,9478,1613,11848,1812,4367,1193,36743,3094,27271,2280,89707,4724,64014,3892,92789,4930,11841,2242,80948,4582,117542,10305,(X),(X),24.3,2.5,39.1,2.9,21.3,2.4,15.3,2.1,46,2,54,2,59.1,2.9,23.7,2.8,9.5,1.7,N,N,N,N,4.1,1.6,3.6,1.1,11,2.1,53.9,2.9,3.2,1.1,4.5,1.2,9.7,1.6,12.2,1.7,4.5,1.2,37.8,2.6,28,2.1,92.2,1.6,65.8,2.7,(X),(X),12.8,2.3,87.2,2.3,(X),(X)
7950000US3604005,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",81199,5489,12128,2012,28413,2856,28580,2897,12078,1979,38092,2836,43107,3224,61493,4621,N,N,6377,1558,N,N,N,N,N,N,N,N,8524,1983,55580,4197,2311,840,2277,738,7213,1759,5206,1014,3160,1287,29864,2654,31168,3386,76611,5304,61032,4264,80546,5508,6140,1702,74406,5357,152288,12086,(X),(X),14.9,2.1,35,3.1,35.2,2.6,14.9,2.1,46.9,1.6,53.1,1.6,75.7,3.2,N,N,7.9,1.9,N,N,N,N,N,N,N,N,10.5,2.3,68.4,3.4,2.8,1,2.8,0.9,8.9,2,6.4,1.2,3.9,1.5,36.8,3,38.4,3.1,94.3,1.3,75.2,3,(X),(X),7.6,2.1,92.4,2.1,(X),(X)
7950000US3604006,"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",98268,6675,29487,3663,29618,3050,22805,2405,16358,2317,43069,3992,55199,4734,36723,3688,51190,5800,2709,780,N,N,N,N,N,N,N,N,13146,2680,32417,3238,3404,1187,7099,1672,19872,3545,14988,2763,5736,1450,27724,3193,19445,2406,87765,6221,47169,4087,97119,6650,14332,3168,82787,6182,75376,5930,(X),(X),30,2.8,30.1,2.6,23.2,2.1,16.6,2,43.8,2.8,56.2,2.8,37.4,3.4,52.1,3.6,2.8,0.8,N,N,N,N,N,N,N,N,13.4,2.7,33,2.9,3.5,1.2,7.2,1.6,20.2,3,15.3,2.6,5.8,1.5,28.2,3,19.8,2.2,89.3,1.9,48,3.5,(X),(X),14.8,3,85.2,3,(X),(X)
7950000US3604007,"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",83534,5694,20649,2860,22270,2601,25363,2842,15252,2060,32802,3544,50732,4212,11499,2884,62393,4895,N,N,N,N,N,N,5975,1704,N,N,18411,3263,N,N,6596,1563,11661,2229,30980,3693,15705,2419,4327,1218,10560,1950,3705,926,65277,5038,14265,2225,83497,5686,25801,3583,57696,5144,30232,4181,(X),(X),24.7,2.7,26.7,2.6,30.4,2.6,18.3,2.4,39.3,3.1,60.7,3.1,13.8,3.3,74.7,3.7,N,N,N,N,N,N,7.2,1.9,N,N,22,3.5,N,N,7.9,1.8,14,2.5,37.1,3.3,18.8,2.7,5.2,1.4,12.6,2.3,4.4,1.1,78.1,3,17.1,2.7,(X),(X),30.9,3.8,69.1,3.8,(X),(X)
7950000US3604008,"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",117471,7910,29941,3445,32318,3948,33566,3437,21646,3145,52345,4391,65126,4919,26438,4034,75977,7202,4754,1793,N,N,N,N,7118,2165,2567,1392,35841,4479,N,N,6690,1717,10277,2419,61836,5329,16353,2777,7084,1735,10484,2024,4747,1339,100504,6936,15231,2561,116567,8036,24335,4149,92232,7747,45906,4938,(X),(X),25.5,2.2,27.5,2.9,28.6,2.3,18.4,2.4,44.6,2.1,55.4,2.1,22.5,3,64.7,3.6,4,1.5,N,N,N,N,6.1,1.9,2.2,1.2,30.5,3.3,N,N,5.7,1.4,8.7,1.9,52.6,2.9,13.9,2.2,6,1.5,8.9,1.6,4,1.1,85.6,2.2,13,2,(X),(X),20.9,3.4,79.1,3.4,(X),(X)
7950000US3604009,"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",137387,5882,26105,2274,31727,3129,49739,3396,29816,2702,59611,3523,77776,4034,35528,3592,87705,5971,6048,1410,N,N,N,N,6008,2191,N,N,11942,2452,32284,3301,6458,1252,8325,1808,35977,2667,27302,2763,11014,1370,30367,3078,17944,1795,122604,5872,48311,3534,136837,5857,11198,2223,125639,5949,82347,5399,(X),(X),19,1.4,23.1,1.9,36.2,2,21.7,1.9,43.4,1.7,56.6,1.7,25.9,2.4,63.8,3,4.4,1,N,N,N,N,4.4,1.6,N,N,8.7,1.8,23.5,2.2,4.7,0.9,6.1,1.3,26.2,1.7,19.9,1.8,8,0.9,22.1,1.8,13.1,1.2,89.2,1.5,35.2,1.8,(X),(X),8.2,1.6,91.8,1.6,(X),(X)
7950000US3604010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",86824,5600,18500,2457,19931,2728,27544,2839,20849,2090,37108,3199,49716,3532,N,N,77337,5731,N,N,N,N,N,N,2039,1311,N,N,4676,1567,N,N,2774,971,7233,1150,27851,3320,20654,2930,5246,1205,16493,2317,6573,1491,76817,5355,23066,3123,85471,5649,7436,1533,78035,5262,63501,6467,(X),(X),21.3,2.3,23,2.8,31.7,2.4,24,2.2,42.7,2.2,57.3,2.2,N,N,89.1,2.8,N,N,N,N,N,N,2.3,1.5,N,N,5.4,1.8,N,N,3.2,1.1,8.3,1.2,32.1,3.1,23.8,2.7,6,1.4,19,2.4,7.6,1.7,88.5,1.6,26.6,3.2,(X),(X),8.7,1.7,91.3,1.7,(X),(X)
7950000US3604011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",74385,5462,19077,3170,22651,3033,19098,2449,13559,2012,35349,3514,39036,3398,21035,2888,45329,5203,N,N,N,N,N,N,3659,2033,N,N,7617,2698,19019,2806,2630,969,4158,1057,19243,2480,16211,2778,3761,1186,18765,2649,9617,1849,67597,5423,28382,3428,72525,5598,11162,2201,61363,5312,70320,6091,(X),(X),25.6,3.7,30.5,3.4,25.7,2.6,18.2,2.5,47.5,2.9,52.5,2.9,28.3,3.8,60.9,4.9,N,N,N,N,N,N,4.9,2.7,N,N,10.2,3.5,25.6,3.8,3.5,1.3,5.6,1.5,25.9,2.4,21.8,3.3,5.1,1.5,25.2,3.2,12.9,2.4,90.9,2,38.2,4,(X),(X),15.4,2.9,84.6,2.9,(X),(X)
7950000US3604012,"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",67827,5802,12800,2293,21222,2743,21419,2807,12386,2050,34428,4151,33399,2881,35580,3887,4646,1650,18249,3193,N,N,N,N,6732,1932,N,N,20855,3143,23360,2639,6501,1293,5317,1233,15682,2598,7594,1950,4966,1296,15218,1879,12549,1503,56009,5096,27767,2512,66614,5207,8415,1509,58199,5097,79357,9010,(X),(X),18.9,2.9,31.3,3.3,31.6,2.9,18.3,2.6,50.8,3,49.2,3,52.5,4.7,6.8,2.3,26.9,3.8,N,N,N,N,9.9,2.6,N,N,30.7,3.7,34.4,3.5,9.6,1.7,7.8,1.8,23.1,2.7,11.2,2.5,7.3,1.8,22.4,2.7,18.5,1.9,82.6,2.2,40.9,3.2,(X),(X),12.6,2.3,87.4,2.3,(X),(X)
7950000US3604013,"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",79695,4227,12576,2308,19681,2309,25815,2233,21623,2280,37098,2610,42597,2345,54733,3747,N,N,15404,2106,N,N,N,N,5134,1363,2028,777,12120,1926,48281,3683,5508,1315,3529,862,17242,2026,11082,1202,3670,892,22830,2546,15834,1779,70658,4289,38664,3393,79238,4272,8533,1672,70705,4586,83469,7323,(X),(X),15.8,2.6,24.7,2.3,32.4,2.5,27.1,2.9,46.5,1.7,53.5,1.7,68.7,3,N,N,19.3,2.5,N,N,N,N,6.4,1.6,2.5,1,15.2,2.3,60.6,3.1,6.9,1.6,4.4,1.1,21.6,2.3,13.9,1.4,4.6,1.1,28.6,2.5,19.9,2,88.7,1.8,48.5,2.9,(X),(X),10.8,2.2,89.2,2.2,(X),(X)
7950000US3604014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",82064,5533,20295,2521,22047,3449,22827,2592,16895,2162,40260,2958,41804,3034,62479,4695,N,N,12551,2740,N,N,N,N,3308,1333,N,N,7824,1899,58482,4416,5769,1139,8130,1515,28552,3163,11299,1748,3188,682,15015,2065,10111,1538,68165,5217,25126,2337,80942,5419,14929,2966,66013,5146,58753,4560,(X),(X),24.7,2.5,26.9,3.5,27.8,2.7,20.6,2.6,49.1,1.4,50.9,1.4,76.1,3.2,N,N,15.3,3.1,N,N,N,N,4,1.6,N,N,9.5,2.3,71.3,3.4,7,1.4,9.9,1.8,34.8,2.6,13.8,1.8,3.9,0.8,18.3,2.2,12.3,1.9,83.1,2.3,30.6,2.5,(X),(X),18.4,3.4,81.6,3.4,(X),(X)
7950000US3604015,"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",90854,6055,18373,2648,26646,2916,24830,3165,21005,2483,42076,3292,48778,3759,44251,3904,31375,4107,7259,1847,N,N,N,N,5791,2104,1618,752,10002,2538,41171,3681,3567,946,6005,1520,21537,3115,16321,2799,5627,1348,21564,2159,16233,1977,81282,5639,37797,2906,90076,5921,11321,2279,78755,5075,66602,4385,(X),(X),20.2,2.3,29.3,2.7,27.3,2.8,23.1,2.7,46.3,2,53.7,2,48.7,3.7,34.5,3.4,8,1.9,N,N,N,N,6.4,2.3,1.8,0.8,11,2.7,45.3,3.6,3.9,1,6.6,1.6,23.7,2.7,18,2.5,6.2,1.4,23.7,2.5,17.9,2.1,89.5,1.8,41.6,3.1,(X),(X),12.6,2.2,87.4,2.2,(X),(X)
7950000US3604016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",93811,5412,16693,2816,20948,2412,28808,2505,27362,2419,42738,2929,51073,3437,68610,4304,N,N,17699,2749,N,N,N,N,2432,1243,1461,933,5565,1747,65731,4009,4673,1067,4358,859,25443,2302,13826,1859,8006,1543,24146,2860,13359,1606,84780,5173,37505,3324,92999,5291,10266,1756,82733,5266,75293,6813,(X),(X),17.8,2.4,22.3,2.4,30.7,2.2,29.2,2.3,45.6,1.8,54.4,1.8,73.1,3.1,N,N,18.9,2.7,N,N,N,N,2.6,1.3,1.6,1,5.9,1.8,70.1,3,5,1.1,4.6,0.9,27.1,2,14.7,1.8,8.5,1.5,25.7,2.2,14.2,1.8,90.4,1.5,40,2.7,(X),(X),11,1.9,89,1.9,(X),(X)
7950000US3604017,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",103960,5909,18938,2116,24730,2581,33735,2714,26557,2385,47532,2879,56428,3641,53265,4228,N,N,41861,3838,N,N,N,N,4020,1266,1939,732,9979,2135,48797,3944,11846,1593,6331,1227,25971,3018,15347,2173,8043,1481,25358,2404,11064,1533,85783,5847,36422,3128,103366,5973,12220,1676,91146,5630,62774,5555,(X),(X),18.2,1.7,23.8,2,32.4,1.8,25.5,2,45.7,1.3,54.3,1.3,51.2,3.2,N,N,40.3,2.8,N,N,N,N,3.9,1.2,1.9,0.7,9.6,1.9,46.9,3.1,11.4,1.5,6.1,1.2,25,2.2,14.8,1.8,7.7,1.3,24.4,1.9,10.6,1.4,82.5,2,35,2.4,(X),(X),11.8,1.5,88.2,1.5,(X),(X)
7950000US3604018,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",75702,6197,12974,2504,12780,2356,22774,3304,27174,2951,33676,3434,42026,3694,50389,4507,N,N,9581,2910,N,N,N,N,4655,1926,N,N,8134,2531,47154,4322,5605,1843,5408,1444,21054,2989,8278,1825,5203,1190,17593,2542,12561,2235,64689,5370,30154,3554,74550,6121,18773,3158,55777,6828,39183,9955,(X),(X),17.1,2.8,16.9,2.7,30.1,3.1,35.9,3.9,44.5,2.3,55.5,2.3,66.6,4.2,N,N,12.7,3.6,N,N,N,N,6.1,2.5,N,N,10.7,3.1,62.3,4.3,7.4,2.3,7.1,1.9,27.8,3.5,10.9,2.1,6.9,1.5,23.2,2.7,16.6,2.7,85.5,2.5,39.8,3.5,(X),(X),25.2,4.7,74.8,4.7,(X),(X)
7950000US3604101,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",119053,6841,30033,2990,37806,3377,31554,3487,19660,2543,57572,4473,61481,3759,79649,5351,8128,1887,16131,3032,N,N,N,N,10577,2807,4195,1236,27706,4137,65366,4446,5890,1231,5899,1570,24974,3294,15074,1846,6632,1374,39731,3576,20853,2471,107264,6283,60584,4222,118761,6859,11516,2021,107245,6515,80481,5175,(X),(X),25.2,2,31.8,2.6,26.5,2.3,16.5,1.9,48.4,2,51.6,2,66.9,3,6.8,1.5,13.5,2.3,N,N,N,N,8.9,2.2,3.5,1,23.3,2.9,54.9,3.2,4.9,1,5,1.2,21,2.2,12.7,1.5,5.6,1.1,33.4,2.5,17.5,2,90.1,1.6,50.9,2.7,(X),(X),9.7,1.6,90.3,1.6,(X),(X)
7950000US3604102,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",86969,6185,17030,2604,21448,3072,25941,3180,22550,3039,43553,3724,43416,3893,34891,4468,7307,1630,18355,3201,N,N,N,N,22605,4580,3103,973,46455,5771,14063,2692,7781,1847,6826,1650,26131,2654,14895,2663,8006,1705,16252,2746,7078,1731,72362,4896,23330,3381,86309,6266,9990,2459,76319,6044,65721,7124,(X),(X),19.6,2.6,24.7,2.9,29.8,3,25.9,3.1,50.1,2.6,49.9,2.6,40.1,4.6,8.4,1.9,21.1,3.4,N,N,N,N,26,4.4,3.6,1.1,53.4,4.6,16.2,3.1,8.9,1.9,7.8,1.7,30,3.2,17.1,2.7,9.2,1.8,18.7,2.6,8.1,2.1,83.2,2.5,26.8,3.4,(X),(X),11.6,2.7,88.4,2.7,(X),(X)
7950000US3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",133817,6716,20850,2379,24958,2779,46930,3814,41079,3586,62575,4343,71242,4459,54963,4468,N,N,59247,5415,N,N,N,N,14269,4306,N,N,20923,4429,48720,4023,10263,1856,8246,1926,33786,3652,23047,2791,14729,2211,26002,2891,17744,2498,115308,5698,43746,3664,132229,6601,17150,3170,115079,6613,65487,7394,(X),(X),15.6,1.6,18.7,2,35.1,2.1,30.7,2.1,46.8,2.1,53.2,2.1,41.1,3.2,N,N,44.3,3.3,N,N,N,N,10.7,3,N,N,15.6,3,36.4,2.9,7.7,1.2,6.2,1.4,25.2,2.5,17.2,2,11,1.6,19.4,1.9,13.3,1.8,86.2,1.7,32.7,2.3,(X),(X),13,2.3,87,2.3,(X),(X)
7950000US3604104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",81027,4971,13185,2207,16685,2261,29974,2746,21183,2208,38847,2836,42180,2976,43738,3915,N,N,27944,2836,N,N,N,N,N,N,N,N,10494,2128,36787,3819,4301,1221,3777,933,13795,1807,12149,2193,7211,1617,24416,2848,15378,1901,72949,4819,39794,3481,80524,4903,4439,1497,76085,5021,96271,8875,(X),(X),16.3,2.2,20.6,2.6,37,2.4,26.1,2.6,47.9,1.9,52.1,1.9,54,4.4,N,N,34.5,3.1,N,N,N,N,N,N,N,N,13,2.5,45.4,4.2,5.3,1.5,4.7,1.1,17,2,15,2.3,8.9,1.9,30.1,2.9,19,2.3,90,2,49.1,3.5,(X),(X),5.5,1.9,94.5,1.9,(X),(X)
7950000US3604105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",139313,7911,26262,2884,30647,2966,48161,3774,34243,3135,63747,4901,75566,4282,20683,2946,81248,6188,19512,2934,N,N,N,N,12737,3837,4534,1294,16980,3454,16098,2435,6577,1311,10175,2042,38712,3556,30417,3043,10736,1544,26109,2742,16587,2367,122561,6785,42696,3782,138111,7901,7387,1946,130724,7820,95582,5969,(X),(X),18.9,1.6,22,1.8,34.6,2,24.6,1.9,45.8,1.8,54.2,1.8,14.8,2,58.3,3.3,14,2,N,N,N,N,9.1,2.6,3.3,0.9,12.2,2.3,11.6,1.7,4.7,0.9,7.3,1.3,27.8,1.9,21.8,1.9,7.7,1.1,18.7,1.7,11.9,1.6,88,1.6,30.6,2.2,(X),(X),5.3,1.4,94.7,1.4,(X),(X)
7950000US3604106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",102888,7398,24155,3738,23805,3053,31397,3596,23531,2792,48580,4320,54308,4244,40270,4661,18375,3684,28070,3769,N,N,N,N,10183,3201,5068,1669,18914,4214,33162,4117,5177,1289,4077,1359,21287,3207,21356,3104,8864,2131,25091,2870,17036,2357,93634,6821,42127,4035,98021,7049,10668,2757,87353,6950,78513,8836,(X),(X),23.5,3,23.1,2.5,30.5,2.5,22.9,2.5,47.2,2.1,52.8,2.1,39.1,4,17.9,3.2,27.3,3.4,N,N,N,N,9.9,2.8,4.9,1.6,18.4,3.6,32.2,3.7,5,1.2,4,1.3,20.7,2.7,20.8,2.5,8.6,1.9,24.4,2.4,16.6,2.1,91,1.7,40.9,3.2,(X),(X),10.9,2.7,89.1,2.7,(X),(X)
7950000US3604107,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",68030,6688,16184,3542,18048,2742,19623,2978,14175,2384,32430,3971,35600,4025,15835,3016,N,N,27353,3976,N,N,N,N,15390,3683,N,N,29582,4833,5272,1366,6813,1761,4950,1414,17433,2795,13534,2486,6570,2011,14297,2540,4433,1109,56267,5986,18730,2975,67399,6666,4706,1348,62693,6682,68310,10295,(X),(X),23.8,3.7,26.5,3.6,28.8,3.2,20.8,3.6,47.7,3.2,52.3,3.2,23.3,4.2,N,N,40.2,4.5,N,N,N,N,22.6,4.3,N,N,43.5,5,7.7,2,10,2.4,7.3,2,25.6,3.7,19.9,2.8,9.7,2.6,21,2.9,6.5,1.6,82.7,2.9,27.5,3.5,(X),(X),7,2.1,93,2.1,(X),(X)
7950000US3604108,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",72581,4888,8410,1570,19417,3591,26150,2614,18604,2386,35048,2931,37533,2810,47475,3763,N,N,18112,2513,N,N,N,N,3218,1133,N,N,9846,2160,41736,3405,2486,899,1417,572,10474,2033,8451,1870,7196,1559,23453,2743,19104,2209,68678,4880,42557,3917,72209,4888,7464,2020,64745,4562,91702,11183,(X),(X),11.6,2,26.8,4.1,36,3.4,25.6,3.1,48.3,2.1,51.7,2.1,65.4,3.3,N,N,25,3,N,N,N,N,4.4,1.5,N,N,13.6,2.6,57.5,3.6,3.4,1.2,2,0.8,14.4,2.5,11.6,2.4,9.9,2,32.3,2.8,26.3,2.8,94.6,1.5,58.6,3.8,(X),(X),10.3,2.6,89.7,2.6,(X),(X)
7950000US3604109,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",76012,4811,14389,2111,26244,2863,20784,2378,14595,1977,36955,2999,39057,2999,40498,3874,N,N,24961,3093,N,N,N,N,5362,1444,2851,934,17053,2970,30277,3084,5608,1442,3333,807,13415,2611,11316,1785,5141,1369,21303,2513,15896,2099,67071,4571,37199,3299,75449,4775,5915,1414,69534,4608,86144,6981,(X),(X),18.9,2.5,34.5,2.8,27.3,2.6,19.2,2.5,48.6,2.4,51.4,2.4,53.3,3.6,N,N,32.8,3.6,N,N,N,N,7.1,1.9,3.8,1.2,22.4,3.6,39.8,3.3,7.4,1.8,4.4,1.1,17.6,3.1,14.9,2.4,6.8,1.7,28,2.9,20.9,2.3,88.2,2.1,48.9,3,(X),(X),7.8,1.8,92.2,1.8,(X),(X)
7950000US3604110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",105345,6463,21471,2737,28685,2857,34549,3316,20640,2191,49647,3394,55698,4112,82298,5415,4655,1516,8525,1763,N,N,N,N,5722,1546,3434,1312,30498,4418,62474,3975,4651,1006,6500,1348,31019,3159,19217,2562,8642,1590,23868,2512,11448,1499,94194,6088,35316,3103,104887,6355,8039,1956,96848,6127,73767,5748,(X),(X),20.4,2,27.2,2.5,32.8,2.1,19.6,1.9,47.1,1.8,52.9,1.8,78.1,2.4,4.4,1.4,8.1,1.6,N,N,N,N,5.4,1.4,3.3,1.2,29,3.3,59.3,3.1,4.4,0.9,6.2,1.3,29.4,2.3,18.2,2,8.2,1.5,22.7,2,10.9,1.3,89.4,1.5,33.5,2.2,(X),(X),7.7,1.8,92.3,1.8,(X),(X)
7950000US3604111,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",88865,6044,21157,2613,21201,2608,31531,3266,14976,1669,45500,3697,43365,3182,29666,3295,8417,2231,23868,3533,N,N,N,N,19456,3180,5934,1998,30974,4095,20174,2638,6494,1216,7356,1622,22317,2547,16426,2348,6605,1204,19053,2179,10614,1395,75015,5487,29667,2691,88137,6122,8418,1784,79719,5895,77179,8301,(X),(X),23.8,2,23.9,2.7,35.5,2.5,16.9,1.9,51.2,1.9,48.8,1.9,33.4,3.1,9.5,2.5,26.9,3.4,N,N,N,N,21.9,3.3,6.7,2.2,34.9,3.9,22.7,2.6,7.3,1.4,8.3,1.7,25.1,2.1,18.5,2.1,7.4,1.3,21.4,2,11.9,1.6,84.4,2.2,33.4,2.4,(X),(X),9.6,2,90.4,2,(X),(X)
7950000US3604112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",154152,8282,33840,3755,37721,3623,50843,3752,31748,2718,67957,4779,86195,5129,9259,2354,101712,5652,18717,3338,N,N,N,N,18787,3594,3919,1664,21385,4010,3856,1207,8225,1938,11833,1864,49351,4658,36952,4187,13829,2018,24417,2883,9545,1566,134094,7837,33962,3240,153227,8345,13789,2214,139438,8030,66743,4744,(X),(X),22,1.8,24.5,2.1,33,1.7,20.6,1.6,44.1,1.8,55.9,1.8,6,1.4,66,2.4,12.1,2.1,N,N,N,N,12.2,2.1,2.5,1.1,13.9,2.3,2.5,0.8,5.3,1.2,7.7,1.2,32,2.2,24,2.3,9,1.3,15.8,1.7,6.2,1,87,1.6,22,1.9,(X),(X),9,1.4,91,1.4,(X),(X)
7950000US3604113,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",83668,6222,16408,2111,19136,2801,27943,3269,20181,2677,40565,3638,43103,3621,34669,4522,14857,2933,17892,2790,N,N,N,N,10855,2709,4840,1779,20233,3317,24112,4226,5102,1297,7211,1353,26897,3048,16964,2613,7456,1557,13028,2503,7010,1645,71355,5560,20038,3380,83656,6224,5517,1460,78139,5995,85721,11196,(X),(X),19.6,2,22.9,2.6,33.4,3.1,24.1,2.9,48.5,2.2,51.5,2.2,41.4,4.2,17.8,3.4,21.4,3.2,N,N,N,N,13,3.1,5.8,2,24.2,3.6,28.8,4,6.1,1.5,8.6,1.4,32.1,3.1,20.3,2.6,8.9,1.7,15.6,2.7,8.4,1.9,85.3,2.2,23.9,3.6,(X),(X),6.6,1.7,93.4,1.7,(X),(X)
7950000US3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",76511,6946,14414,3094,16736,2765,25791,3405,19570,2297,36726,4315,39785,4177,35655,3943,30521,5160,N,N,N,N,N,N,N,N,N,N,15618,3791,28193,3110,5083,1298,6586,1576,21275,3922,17750,2777,6332,1839,12393,2202,7092,1378,64842,6164,19485,2489,73299,6983,11779,2003,61520,6497,56346,7586,(X),(X),18.8,3.2,21.9,3,33.7,3,25.6,3.1,48,3.2,52,3.2,46.6,4.8,39.9,5.1,N,N,N,N,N,N,N,N,N,N,20.4,4.4,36.8,4,6.6,1.6,8.6,1.9,27.8,3.6,23.2,3.2,8.3,2.3,16.2,2.8,9.3,1.9,84.7,2.2,25.5,3.2,(X),(X),16.1,2.6,83.9,2.6,(X),(X)
