image_id,source_url,status
44,https://urban-mobility-index.yolasite.com/ws/resized-images/c19d9048978b49b1804af8b3466e54dd/nyc_node.png,captured_via_virtual_browser
45,https://urban-mobility-index.yolasite.com/ws/resized-images/a76945eab6b949f69ec68993fdc54735/ny_street.png,captured_via_virtual_browser
46,https://urban-mobility-index.yolasite.com/ws/resized-images/a457d5b2631042d0a6eebc9b8b507929/sf_hex.png,captured_via_virtual_browser
47,https://urban-mobility-index.yolasite.com/ws/resized-images/befcc2dba08f42f9b99d66aa2d6f59fd/sf_intersection_kde-1.png,captured_via_virtual_browser
48,https://urban-mobility-index.yolasite.com/ws/resized-images/b05546d90862450eba11953f9d2b19f3/sf_node.png,captured_via_virtual_browser
49,https://urban-mobility-index.yolasite.com/ws/resized-images/fb1960a7b20a428ebb2f05c5d2a55cb7/sf_street.png,captured_via_virtual_browser
50,https://urban-mobility-index.yolasite.com/ws/media-library/c2f6b3da41e44338852de3dbecc0d7d0/inter1.jpg,captured_via_virtual_browser
51,https://urban-mobility-index.yolasite.com/ws/media-library/e761240a8c004ce59dd89f82f3bc6176/final-table.png,captured_via_virtual_browser
52,https://urban-mobility-index.yolasite.com/ws/media-library/cae0e18df9e840ee961ea3fb8a9116e9/kmeans.png,captured_via_virtual_browser
53,https://urban-mobility-index.yolasite.com/ws/media-library/30d7a79679354adc820c2a20aa041f6e/agglomerative-clustering.png,captured_via_virtual_browser
54,https://urban-mobility-index.yolasite.com/ws/media-library/0a93fc5b8edc40d983c019f98e5964cc/gaussian-mixture.png,captured_via_virtual_browser
55,https://urban-mobility-index.yolasite.com/ws/media-library/52080f10f274492dbe244eef9f052a99/pmcbpppbska,captured_via_virtual_browser
56,https://urban-mobility-index.yolasite.com/ws/media-library/06f480a04bd54679a2e7e06cec307816/trainingwalkscore.png,captured_via_virtual_browser
57,https://urban-mobility-index.yolasite.com/ws/media-library/f9b9c163927e4e2085a8d5b0ce2e0cb4/testwalkscore.png,captured_via_virtual_browser
58,https://urban-mobility-index.yolasite.com/ws/media-library/c8698dce5f4c4b2ca962b9af37a2806c/header.png,captured_via_virtual_browser
