,borocode,zip,geometry,longitude,latitude,index_right,PUMA,Shape_Leng,Shape_Area
184,4.0,11101,POINT (-73.93930930198185 40.75780342796006),-73.93930930198185,40.75780342796006,41,4101,76015.2039665,143819416.07
185,4.0,11378,POINT (-73.89310456490118 40.72699537010918),-73.89310456490118,40.72699537010918,50,4110,71251.3267965,205047603.928
186,4.0,11354,POINT (-73.8098334843409 40.76375031625646),-73.8098334843409,40.76375031625646,43,4103,149451.567392,329873810.656
187,4.0,11379,POINT (-73.88085934625774 40.71293387617611),-73.88085934625774,40.71293387617611,50,4110,71251.3267965,205047603.928
188,4.0,11354,POINT (-73.82694112165963 40.76914153216748),-73.82694112165963,40.76914153216748,43,4103,149451.567392,329873810.656
189,4.0,11375,POINT (-73.85367250555949 40.71115685830539),-73.85367250555949,40.711156858305394,48,4108,37999.6381715,77765102.8446
190,4.0,11362,POINT (-73.73183792044951 40.75925363922453),-73.73183792044951,40.75925363922453,44,4104,104978.089545,260047824.698
191,4.0,11417,POINT (-73.84648846296761 40.68086717885689),-73.84648846296761,40.680867178856886,53,4113,111168.400005,172024816.056
192,4.0,11693,POINT (-73.81606502823946 40.58586414713836),-73.81606502823946,40.58586414713836,54,4114,402487.073726,310522670.444
193,4.0,11365,POINT (-73.81009488691065 40.732925077255),-73.81009488691065,40.732925077255004,46,4106,79842.9340986,207308619.71
194,4.0,11356,POINT (-73.84601807353184 40.78621310340785),-73.84601807353184,40.786213103407846,43,4103,149451.567392,329873810.656
195,4.0,11691,POINT (-73.75351240691268 40.60239019036059),-73.75351240691268,40.60239019036059,54,4114,402487.073726,310522670.444
196,4.0,11428,POINT (-73.73904906070274 40.7198883271777),-73.73904906070274,40.7198883271777,45,4105,206027.45579,550135981.616
197,4.0,11355,POINT (-73.82516996389201 40.74293094649011),-73.82516996389201,40.74293094649011,43,4103,149451.567392,329873810.656
198,4.0,11101,POINT (-73.94424078652605 40.75507371804147),-73.94424078652605,40.755073718041466,41,4101,76015.2039665,143819416.07
199,4.0,11106,POINT (-73.93640396909242 40.76067995120377),-73.93640396909242,40.76067995120377,41,4101,76015.2039665,143819416.07
200,4.0,11374,POINT (-73.86450282598912 40.72731656026829),-73.86450282598912,40.72731656026829,48,4108,37999.6381715,77765102.8446
201,4.0,11418,POINT (-73.83164233461157 40.70079720332697),-73.83164233461157,40.70079720332697,51,4111,56320.396492,132524480.546
202,4.0,11385,POINT (-73.90258827579805 40.70522689472795),-73.90258827579805,40.70522689472795,50,4110,71251.3267965,205047603.928
203,4.0,11434,POINT (-73.7705902160538 40.67287520439724),-73.7705902160538,40.67287520439724,52,4112,72793.6040684,260049220.98
204,4.0,11422,POINT (-73.73991101315558 40.659963623126),-73.73991101315558,40.659963623126,45,4105,206027.45579,550135981.616
205,4.0,11694,POINT (-73.83774700520225 40.57940488152449),-73.83774700520225,40.57940488152449,54,4114,402487.073726,310522670.444
206,4.0,11412,POINT (-73.75379739629261 40.70700391135426),-73.75379739629261,40.707003911354256,52,4112,72793.6040684,260049220.98
207,4.0,11433,POINT (-73.79021187041809 40.69561111757665),-73.79021187041809,40.695611117576654,52,4112,72793.6040684,260049220.98
208,4.0,11420,POINT (-73.80926182925428 40.6747839537347),-73.80926182925428,40.674783953734696,53,4113,111168.400005,172024816.056
209,4.0,11412,POINT (-73.76007289358745 40.69249997141939),-73.76007289358745,40.69249997141939,52,4112,72793.6040684,260049220.98
