"B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen","id","Geographic Area Name"
"164624","2299","136293","2532","942","312","1142","263","20292","1269","5955","964","7950000US3603901","NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York"
"138286","2200","95608","2441","1558","432","1472","328","28113","1555","11535","1383","7950000US3603902","NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York"
"171983","2727","121881","2840","4086","487","1498","309","25749","1300","18769","1595","7950000US3603903","NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York"
"162743","3165","116517","3019","5648","669","2577","393","20260","1200","17741","1188","7950000US3604001","NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York"
"129193","2570","80122","2077","7721","727","1604","346","17837","1005","21909","1790","7950000US3604002","NYC-Brooklyn Community District 4--Bushwick PUMA, New York"
"149313","3253","115687","2796","2371","391","2176","367","15968","903","13111","1064","7950000US3604003","NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York"
"142235","2204","110214","2203","2490","367","2060","257","13860","863","13611","863","7950000US3604004","NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York"
"117784","2381","93953","2109","2285","365","2172","356","10366","885","9008","774","7950000US3604005","NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York"
"134083","2567","94055","2288","1377","337","2432","351","23145","1143","13074","1032","7950000US3604006","NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York"
"116334","2792","79337","2454","2575","458","1224","259","20022","1301","13176","936","7950000US3604007","NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York"
"161273","3447","96580","2863","5740","693","2179","362","34915","1555","21859","1300","7950000US3604008","NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York"
"205631","2979","117344","2449","2119","392","3114","349","62926","1775","20128","1150","7950000US3604009","NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York"
"134970","2401","62758","2092","513","166","2016","356","45809","1497","23874","1400","7950000US3604010","NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York"
"107532","2706","62201","2441","535","194","1700","304","27773","1395","15323","1291","7950000US3604011","NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York"
"140195","3544","70693","2636","3476","505","2443","360","25017","1287","38566","1659","7950000US3604012","NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York"
"122743","2198","71792","1786","1529","298","2199","334","27978","1028","19245","1169","7950000US3604013","NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York"
"154796","2962","106761","3045","860","220","3826","607","26720","1234","16629","1207","7950000US3604014","NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York"
"157511","2614","88571","2434","1254","249","2470","414","39761","1395","25455","1422","7950000US3604015","NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York"
"151100","2541","74454","2248","764","208","1941","367","51382","1477","22559","1331","7950000US3604016","NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York"
"189058","2392","80288","2105","1196","269","2903","456","62533","1672","42138","1783","7950000US3604017","NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York"
"113480","2530","49157","2032","2175","597","1455","365","43045","1462","17648","1229","7950000US3604018","NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York"
"163960","2758","96361","2386","1903","318","2630","357","37192","1409","25874","1042","7950000US3604101","NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York"
"171657","3627","65795","2194","1847","375","1921","325","43184","1405","58910","2610","7950000US3604102","NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York"
"242631","3451","101162","2596","1333","353","2011","354","71654","1927","66471","2539","7950000US3604103","NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York"
"118237","2069","65223","1621","613","177","1242","296","35789","1195","15370","1160","7950000US3604104","NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York"
"202745","2838","113151","2105","1818","300","1922","337","62691","1632","23163","1279","7950000US3604105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York"
"164041","2789","83089","2136","1436","376","2418","520","50203","1830","26895","1873","7950000US3604106","NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York"
"139682","3086","48367","2461","1510","419","1447","344","41648","1589","46710","2318","7950000US3604107","NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York"
"115881","2397","55974","1966","817","262","1664","315","38373","1236","19053","1050","7950000US3604108","NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York"
"135380","2548","60569","1976","1385","330","1573","292","29630","1359","42223","2158","7950000US3604109","NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York"
"186568","2791","108221","2519","4135","527","2037","315","40211","1347","31964","1663","7950000US3604110","NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York"
"148027","2550","66449","1744","2828","377","2255","497","45864","1392","30631","1469","7950000US3604111","NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York"
"237303","3150","130190","2819","1951","389","2661","416","65574","2372","36927","1980","7950000US3604112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York"
"132943","3172","68981","2257","2162","469","2113","392","41603","1636","18084","1195","7950000US3604113","NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York"
"128437","3216","89663","3064","2310","437","1813","408","22034","1612","12617","1269","7950000US3604114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York"
